area_type,bath,balcony,availabletomove,rectified_sqft,price
Super built-up  Area,2.0,2.0,Yes,1185.0,75.0
Super built-up  Area,2.0,3.0,Yes,1600.0,75.0
Super built-up  Area,2.0,2.0,Yes,1200.0,44.0
Built-up  Area,2.0,2.0,No,3210.0,192.0
Super built-up  Area,2.0,2.0,Yes,1500.0,185.0
Plot  Area,4.0,1.0,Yes,1407.0,150.0
Super built-up  Area,2.0,2.0,Yes,840.0,45.0
Plot  Area,3.0,2.0,Yes,4395.0,240.0
Super built-up  Area,2.0,1.0,Yes,845.0,55.0
Plot  Area,5.0,3.0,Yes,5700.0,650.0
Built-up  Area,2.0,2.0,Yes,1160.0,44.0
Built-up  Area,8.0,0.0,Yes,3000.0,140.0
Super built-up  Area,2.0,1.0,Yes,1100.0,62.0
Super built-up  Area,2.0,3.0,No,1140.0,43.0
Super built-up  Area,2.0,1.0,Yes,1220.0,57.0
Plot  Area,7.0,0.0,Yes,1350.0,85.0
Super built-up  Area,2.0,1.0,Yes,1005.0,36.68
Plot  Area,3.0,2.0,Yes,500.0,100.0
Super built-up  Area,2.0,1.0,No,1358.0,80.58
Super built-up  Area,3.0,1.0,Yes,1569.0,101.0
Super built-up  Area,2.0,1.0,No,1240.0,70.0
Super built-up  Area,3.0,2.0,Yes,2089.0,140.0
Super built-up  Area,2.0,1.0,Yes,1206.0,48.23
Super built-up  Area,2.0,3.0,Yes,1150.0,40.0
Built-up  Area,3.0,3.0,Yes,2511.0,205.0
Built-up  Area,1.0,0.0,Yes,460.0,22.0
Built-up  Area,6.0,3.0,Yes,4400.0,250.0
Super built-up  Area,2.0,2.0,Yes,1660.0,105.0
Built-up  Area,2.0,2.0,No,3203.5,224.5
Super built-up  Area,2.0,2.0,No,1326.0,78.0
Super built-up  Area,2.0,2.0,Yes,1325.0,60.8
Super built-up  Area,5.0,2.0,Yes,1499.0,102.0
Built-up  Area,7.0,2.0,Yes,3000.0,210.0
Super built-up  Area,3.0,2.0,Yes,1665.0,88.0
Super built-up  Area,2.0,2.0,No,708.0,37.0
Super built-up  Area,2.0,2.0,Yes,1060.0,58.06
Plot  Area,6.0,3.0,Yes,710.0,160.0
Built-up  Area,2.0,2.0,Yes,1000.0,70.0
Super built-up  Area,2.0,1.0,No,1000.0,28.88
Super built-up  Area,2.0,2.0,Yes,1450.0,70.0
Plot  Area,4.0,2.0,Yes,1200.0,155.0
Super built-up  Area,2.0,3.0,No,1296.0,80.0
Super built-up  Area,3.0,2.0,Yes,1540.0,90.0
Plot  Area,4.0,1.0,Yes,2894.0,245.0
Super built-up  Area,2.0,1.0,Yes,1330.0,48.0
Built-up  Area,2.0,1.0,Yes,1200.0,65.0
Built-up  Area,3.0,1.0,Yes,1200.0,90.0
Super built-up  Area,3.0,3.0,Yes,2502.0,138.0
Built-up  Area,1.0,1.0,Yes,650.0,17.0
Plot  Area,2.0,1.0,Yes,2400.0,150.0
Super built-up  Area,2.0,2.0,Yes,1007.0,43.0
Super built-up  Area,2.0,2.0,Yes,1200.0,50.0
Super built-up  Area,2.0,2.0,Yes,966.0,49.9
Built-up  Area,2.0,1.0,Yes,1630.0,98.0
Built-up  Area,3.0,2.0,Yes,1640.0,229.0
Built-up  Area,2.0,2.0,Yes,782.0,55.68
Super built-up  Area,2.0,2.0,No,1260.0,66.78
Super built-up  Area,3.0,3.0,Yes,1800.0,120.0
Super built-up  Area,2.0,2.0,Yes,1413.0,75.0
Super built-up  Area,2.0,1.0,Yes,1116.0,51.91
Super built-up  Area,2.0,1.0,Yes,1530.0,45.9
Built-up  Area,4.0,1.0,Yes,3700.0,225.0
Built-up  Area,3.0,2.0,Yes,2497.0,140.0
Super built-up  Area,2.0,3.0,Yes,1540.0,64.0
Super built-up  Area,3.0,1.0,No,1436.0,74.75
Super built-up  Area,2.0,2.0,No,1100.0,75.0
Plot  Area,3.0,3.0,Yes,276.0,23.0
Super built-up  Area,3.0,2.0,Yes,1427.0,120.0
Super built-up  Area,3.0,1.0,Yes,2061.0,200.0
Super built-up  Area,4.0,0.0,No,5611.5,477.0
Built-up  Area,4.0,2.0,Yes,2650.0,150.0
Super built-up  Area,2.0,2.0,No,1282.0,68.52
Built-up  Area,2.0,1.0,Yes,1050.0,34.0
Built-up  Area,3.0,2.0,Yes,1600.0,65.0
Super built-up  Area,2.0,1.0,No,945.0,54.0
Super built-up  Area,2.0,1.0,Yes,1500.0,78.0
Plot  Area,7.0,0.0,Yes,950.0,115.0
Built-up  Area,3.0,3.0,Yes,1870.0,110.0
Plot  Area,3.0,1.0,Yes,1600.0,75.0
Super built-up  Area,1.0,1.0,Yes,880.0,16.5
Plot  Area,4.0,0.0,Yes,1200.0,210.0
Super built-up  Area,3.0,2.0,Yes,1535.0,83.0
Built-up  Area,2.0,1.0,Yes,950.0,57.0
Super built-up  Area,2.0,1.0,No,1360.0,65.0
Super built-up  Area,2.0,0.0,No,1073.5,54.005
Super built-up  Area,3.0,1.0,No,1280.0,50.4
Super built-up  Area,2.0,2.0,No,1260.0,85.05
Built-up  Area,8.0,2.0,Yes,5000.0,250.0
Super built-up  Area,5.0,1.0,No,3050.0,213.0
Super built-up  Area,3.0,1.0,Yes,1563.05,105.0
Super built-up  Area,2.0,1.0,Yes,1000.0,60.0
Super built-up  Area,2.0,1.0,No,1167.0,43.76
Super built-up  Area,7.0,2.0,Yes,4000.0,225.0
Super built-up  Area,3.0,2.0,Yes,1828.0,110.0
Super built-up  Area,2.0,1.0,Yes,890.0,35.0
Super built-up  Area,3.0,3.0,Yes,1612.0,46.74
Plot  Area,5.0,2.0,Yes,1034.0,185.0
Super built-up  Area,4.0,2.0,No,1710.0,91.31
Super built-up  Area,2.0,1.0,Yes,957.0,58.0
Super built-up  Area,2.0,3.0,No,1250.0,44.0
Super built-up  Area,4.0,2.0,Yes,2795.0,235.0
Super built-up  Area,2.0,2.0,Yes,1125.0,50.0
Super built-up  Area,2.0,1.0,No,1020.0,30.6
Super built-up  Area,2.0,2.0,Yes,1200.0,50.0
Super built-up  Area,3.0,3.0,Yes,1735.0,135.0
Super built-up  Area,3.0,1.0,Yes,2050.0,145.0
Plot  Area,4.0,0.0,Yes,3750.0,760.0
Built-up  Area,2.0,3.0,Yes,1350.0,48.0
Super built-up  Area,2.0,1.0,No,1063.0,32.0
Super built-up  Area,3.0,1.0,Yes,1904.0,150.0
Built-up  Area,4.0,2.0,Yes,4200.0,420.0
Super built-up  Area,3.0,1.0,Yes,2000.0,175.0
Super built-up  Area,2.0,0.0,No,1242.5,43.49
Super built-up  Area,2.0,2.0,Yes,1425.0,75.0
Super built-up  Area,2.0,1.0,Yes,1500.0,64.5
Built-up  Area,2.0,1.0,Yes,1060.0,60.0
Built-up  Area,2.0,2.0,Yes,1470.0,70.0
Super built-up  Area,6.0,0.0,Yes,1300.0,99.0
Super built-up  Area,1.0,1.0,Yes,450.0,11.0
Super built-up  Area,2.0,1.0,No,1152.0,64.5
Super built-up  Area,2.0,1.0,Yes,1350.0,56.0
Super built-up  Area,3.0,3.0,Yes,1550.0,65.0
Plot  Area,3.0,2.0,Yes,1500.0,100.0
Plot  Area,3.0,2.0,Yes,600.0,85.0
Plot  Area,1.0,0.0,Yes,400.0,14.0
Super built-up  Area,1.0,2.0,Yes,705.0,67.0
Built-up  Area,1.0,1.0,Yes,770.0,36.0
Super built-up  Area,2.0,3.0,Yes,1242.0,51.0
Super built-up  Area,3.0,2.0,Yes,1700.0,155.0
Super built-up  Area,3.0,2.0,Yes,2144.0,145.0
Super built-up  Area,3.0,2.0,No,1704.0,110.0
Super built-up  Area,2.0,1.0,Yes,1070.0,52.0
Plot  Area,3.0,2.0,Yes,1846.0,300.0
Super built-up  Area,2.0,2.0,Yes,1340.0,55.7
Built-up  Area,2.0,1.0,Yes,1025.0,46.0
Super built-up  Area,2.0,0.0,Yes,1277.5,56.8
Super built-up  Area,2.0,2.0,Yes,1200.0,52.0
Built-up  Area,4.0,1.0,No,2250.0,110.0
Super built-up  Area,2.0,3.0,Yes,1550.0,80.0
Plot  Area,5.0,2.0,Yes,1200.0,325.0
Plot  Area,7.0,1.0,Yes,1800.0,250.0
Super built-up  Area,2.0,2.0,Yes,1200.0,60.0
Super built-up  Area,2.0,2.0,Yes,1327.0,98.0
Super built-up  Area,2.0,2.0,Yes,1186.0,58.0
Built-up  Area,3.0,1.0,Yes,1783.0,115.0
Super built-up  Area,3.0,2.0,Yes,1400.0,56.0
Super built-up  Area,2.0,1.0,Yes,980.0,48.0
Super built-up  Area,2.0,2.0,Yes,1285.0,82.0
Super built-up  Area,2.0,1.0,Yes,912.0,70.0
Built-up  Area,2.0,2.0,Yes,1225.0,47.6
Super built-up  Area,2.0,1.0,Yes,1075.0,53.0
Built-up  Area,2.0,2.0,Yes,1260.0,54.0
Super built-up  Area,2.0,2.0,Yes,1282.0,48.7
Super built-up  Area,3.0,2.0,Yes,1909.0,88.0
Super built-up  Area,2.0,1.0,Yes,1359.0,87.0
Built-up  Area,2.0,2.0,Yes,1207.0,43.5
Plot  Area,6.0,0.0,Yes,1736.0,190.0
Super built-up  Area,4.0,1.0,No,2850.0,428.0
Super built-up  Area,3.0,2.0,Yes,1595.0,65.0
Built-up  Area,3.0,2.0,No,1798.0,89.0
Super built-up  Area,3.0,2.0,Yes,1475.0,78.29
Super built-up  Area,3.0,3.0,Yes,1580.0,100.0
Super built-up  Area,2.0,1.0,Yes,1295.0,65.0
Built-up  Area,6.0,0.0,Yes,3600.0,141.0
Super built-up  Area,1.0,1.0,Yes,589.0,27.0
Super built-up  Area,3.0,3.0,Yes,1415.0,78.0
Super built-up  Area,3.0,2.0,No,1787.0,98.29
Super built-up  Area,3.0,2.0,Yes,1787.0,125.0
Super built-up  Area,2.0,3.0,Yes,1475.0,90.0
Built-up  Area,4.0,1.0,Yes,2000.0,75.5
Super built-up  Area,2.0,1.0,No,984.0,44.28
Super built-up  Area,2.0,2.0,No,1630.0,74.82
Super built-up  Area,4.0,2.0,Yes,2405.0,260.0
Built-up  Area,2.0,2.0,Yes,1080.0,72.0
Plot  Area,2.0,1.0,Yes,1500.0,115.0
Super built-up  Area,3.0,2.0,Yes,1900.0,119.0
Super built-up  Area,2.0,1.0,No,805.0,22.14
Super built-up  Area,2.0,2.0,Yes,1153.0,56.4
Super built-up  Area,2.0,2.0,Yes,1148.0,60.0
Super built-up  Area,2.0,2.0,Yes,1110.0,55.0
Built-up  Area,2.0,2.0,Yes,1100.0,42.0
Super built-up  Area,2.0,2.0,Yes,1290.0,110.0
Super built-up  Area,2.0,1.0,Yes,1500.0,65.0
Super built-up  Area,2.0,2.0,No,1080.0,39.0
Super built-up  Area,3.0,1.0,No,1933.0,129.0
Built-up  Area,5.0,2.0,Yes,3500.0,150.0
Built-up  Area,2.0,2.0,Yes,1060.0,60.0
Super built-up  Area,1.0,1.0,No,645.0,16.45
Plot  Area,8.0,2.0,Yes,2600.0,180.0
Super built-up  Area,1.0,1.0,No,645.0,16.45
Super built-up  Area,3.0,3.0,Yes,1644.0,84.0
Super built-up  Area,2.0,3.0,Yes,1285.0,72.5
Plot  Area,3.0,1.0,Yes,1200.0,90.0
Super built-up  Area,2.0,1.0,Yes,910.0,40.0
Super built-up  Area,3.0,1.0,Yes,1577.0,70.0
Plot  Area,3.0,2.0,No,4050.0,280.0
Super built-up  Area,3.0,2.0,Yes,2420.0,185.0
Super built-up  Area,1.0,1.0,Yes,800.0,20.0
Built-up  Area,2.0,2.0,Yes,1060.0,55.0
Super built-up  Area,2.0,2.0,Yes,1270.0,93.0
Super built-up  Area,2.0,2.0,No,900.0,22.5
Built-up  Area,2.0,1.0,Yes,1280.0,69.0
Plot  Area,2.0,0.0,Yes,1200.0,95.0
Built-up  Area,2.0,2.0,Yes,1025.0,36.0
Super built-up  Area,2.0,1.0,No,1108.0,63.0
Plot  Area,5.0,2.0,Yes,1200.0,170.0
Super built-up  Area,3.0,2.0,Yes,3045.0,170.0
Plot  Area,3.0,2.0,Yes,2900.0,300.0
Super built-up  Area,3.0,2.0,Yes,1500.0,75.5
Super built-up  Area,2.0,2.0,Yes,1295.0,43.9
Super built-up  Area,2.0,1.0,Yes,1162.0,59.9
Super built-up  Area,2.0,2.0,Yes,1035.0,49.2
Built-up  Area,4.0,0.0,Yes,1600.0,52.8
Super built-up  Area,3.0,2.0,Yes,1464.0,46.0
Super built-up  Area,2.0,2.0,No,1866.0,61.58
Super built-up  Area,1.0,1.0,Yes,700.0,26.0
Super built-up  Area,3.0,2.0,Yes,1804.0,120.0
Super built-up  Area,2.0,1.0,Yes,913.0,32.0
Super built-up  Area,3.0,2.0,No,1868.0,131.0
Built-up  Area,2.0,1.0,Yes,883.0,45.0
Plot  Area,2.0,1.0,Yes,900.0,110.0
Super built-up  Area,2.0,3.0,Yes,1664.0,73.95
Super built-up  Area,3.0,2.0,Yes,2026.0,132.0
Super built-up  Area,2.0,1.0,Yes,1210.0,80.9
Plot  Area,4.0,2.0,Yes,4111.0,250.0
Super built-up  Area,3.0,3.0,Yes,1762.0,91.45
Super built-up  Area,3.0,3.0,Yes,1252.0,55.0
Built-up  Area,2.0,1.0,Yes,861.0,34.5
Built-up  Area,2.0,1.0,Yes,1420.0,100.0
Plot  Area,6.0,0.0,Yes,1450.0,250.0
Built-up  Area,3.0,1.0,Yes,1490.0,78.8
Super built-up  Area,2.0,1.0,Yes,1075.0,46.0
Super built-up  Area,2.0,2.0,No,1425.0,94.0
Built-up  Area,2.0,1.0,Yes,1200.0,40.0
Super built-up  Area,2.0,2.0,Yes,1280.0,56.0
Super built-up  Area,2.0,2.0,Yes,1084.0,50.0
Super built-up  Area,2.0,2.0,No,1015.0,25.88
Super built-up  Area,2.0,1.0,No,1017.0,51.25
Super built-up  Area,2.0,2.0,Yes,1027.0,44.0
Super built-up  Area,2.0,2.0,Yes,1069.0,45.0
Super built-up  Area,2.0,1.0,Yes,1349.0,98.2
Super built-up  Area,2.0,1.0,Yes,1005.0,50.0
Super built-up  Area,2.0,3.0,Yes,1417.0,75.0
Plot  Area,3.0,1.0,No,1475.0,98.0
Carpet  Area,2.0,2.0,Yes,950.0,47.0
Super built-up  Area,4.0,0.0,Yes,2000.0,120.0
Plot  Area,3.0,1.0,Yes,880.0,140.0
Super built-up  Area,3.0,2.0,Yes,1863.0,104.0
Super built-up  Area,2.0,1.0,Yes,1010.0,29.5
Super built-up  Area,2.0,1.0,Yes,1425.0,70.0
Super built-up  Area,3.0,0.0,Yes,1450.0,100.0
Super built-up  Area,3.0,2.0,Yes,1847.0,105.0
Super built-up  Area,2.0,3.0,Yes,1100.0,45.0
Super built-up  Area,1.0,1.0,No,525.0,26.0
Super built-up  Area,3.0,2.0,Yes,1665.0,95.0
Super built-up  Area,4.0,3.0,Yes,1664.0,65.0
Super built-up  Area,3.0,3.0,Yes,1850.0,150.0
Super built-up  Area,2.0,3.0,Yes,1438.0,100.0
Super built-up  Area,3.0,3.0,Yes,1560.0,115.0
Super built-up  Area,2.0,1.0,No,1350.0,55.55
Super built-up  Area,3.0,3.0,Yes,1550.0,67.0
Super built-up  Area,2.0,2.0,No,1140.0,46.5
Plot  Area,5.0,2.0,Yes,1200.0,180.0
Super built-up  Area,2.0,2.0,No,850.0,27.0
Super built-up  Area,2.0,2.0,Yes,1280.0,75.0
Built-up  Area,2.0,2.0,Yes,1170.0,52.0
Super built-up  Area,2.0,1.0,Yes,1113.0,51.0
Super built-up  Area,2.0,1.0,Yes,1385.0,83.09
Super built-up  Area,2.0,1.0,No,1128.0,65.0
Plot  Area,2.0,2.0,Yes,1200.0,128.0
Plot  Area,4.0,3.0,Yes,1200.0,165.0
Super built-up  Area,3.0,2.0,Yes,2390.0,415.0
Plot  Area,4.0,1.0,Yes,2400.0,400.0
Super built-up  Area,3.0,2.0,Yes,1464.0,56.0
Super built-up  Area,2.0,2.0,Yes,1200.0,55.0
Super built-up  Area,2.0,2.0,Yes,1200.0,52.0
Super built-up  Area,2.0,1.0,Yes,1150.0,55.0
Built-up  Area,3.0,2.0,Yes,1645.0,95.0
Super built-up  Area,2.0,1.0,No,1000.0,67.0
Plot  Area,4.0,2.0,Yes,2650.0,198.0
Super built-up  Area,2.0,2.0,Yes,1192.0,74.0
Super built-up  Area,3.0,2.0,Yes,2135.0,215.0
Super built-up  Area,2.0,1.0,No,1173.0,58.0
Built-up  Area,2.0,2.0,Yes,1020.0,45.0
Super built-up  Area,6.0,2.0,Yes,3122.0,230.0
Super built-up  Area,3.0,3.0,Yes,1600.0,64.0
Plot  Area,2.0,0.0,No,1200.0,79.0
Carpet  Area,2.0,3.0,Yes,1230.0,48.0
Super built-up  Area,2.0,2.0,Yes,1250.0,40.0
Super built-up  Area,2.0,2.0,Yes,1325.0,76.0
Built-up  Area,3.0,1.0,Yes,1850.0,150.0
Super built-up  Area,2.0,2.0,No,525.0,21.53
Super built-up  Area,2.0,2.0,Yes,1200.0,65.0
Plot  Area,2.0,0.0,Yes,1350.0,140.0
Super built-up  Area,3.0,1.0,No,1260.0,49.36
Super built-up  Area,3.0,0.0,Yes,1800.0,150.0
Plot  Area,3.0,2.0,No,11.0,74.0
Built-up  Area,2.0,1.0,Yes,1100.0,43.25
Super built-up  Area,2.0,1.0,Yes,1508.0,77.0
Carpet  Area,3.0,2.0,Yes,1592.0,75.0
Super built-up  Area,2.0,3.0,Yes,1388.0,57.0
Super built-up  Area,1.0,1.0,No,630.0,28.35
Plot  Area,3.0,2.0,Yes,2000.0,365.0
Super built-up  Area,3.0,1.0,Yes,1762.0,125.0
Super built-up  Area,2.0,2.0,No,950.0,50.0
Super built-up  Area,5.0,3.0,Yes,3252.0,335.0
Super built-up  Area,2.0,1.0,No,1116.0,50.0
Super built-up  Area,2.0,2.0,Yes,1308.0,89.04
Super built-up  Area,3.0,0.0,Yes,1200.0,90.0
Plot  Area,4.0,2.0,Yes,1500.0,230.0
Built-up  Area,1.0,1.0,Yes,500.0,18.5
Super built-up  Area,2.0,1.0,Yes,1075.0,52.0
Super built-up  Area,1.0,0.0,No,530.0,11.66
Built-up  Area,2.0,3.0,Yes,1205.0,66.0
Super built-up  Area,2.0,2.0,Yes,1075.0,60.0
Built-up  Area,2.0,2.0,Yes,930.0,39.0
Super built-up  Area,2.0,1.0,Yes,1380.0,60.0
Super built-up  Area,5.0,2.0,Yes,2483.0,212.0
Built-up  Area,2.0,2.0,Yes,1166.0,55.0
Super built-up  Area,2.0,1.0,Yes,1050.0,65.0
Super built-up  Area,3.0,2.0,No,2023.71,275.0
Super built-up  Area,2.0,2.0,Yes,1200.0,46.8
Super built-up  Area,2.0,1.0,Yes,1600.0,108.0
Super built-up  Area,3.0,2.0,Yes,1935.0,110.0
Super built-up  Area,1.0,0.0,No,451.0,29.9
Super built-up  Area,3.0,2.0,Yes,1800.0,95.0
Super built-up  Area,3.0,0.0,No,1400.0,77.0
Super built-up  Area,3.0,2.0,Yes,1801.0,115.0
Built-up  Area,2.0,2.0,Yes,1451.0,90.0
Plot  Area,1.0,1.0,No,1200.0,36.0
Super built-up  Area,2.0,2.0,Yes,1160.0,44.0
Built-up  Area,2.0,1.0,Yes,1000.0,25.0
Super built-up  Area,2.0,1.0,Yes,950.0,40.0
Built-up  Area,3.0,2.0,No,1629.0,79.0
Built-up  Area,2.0,0.0,Yes,1580.0,134.0
Super built-up  Area,3.0,2.0,No,1826.0,121.0
Built-up  Area,2.0,1.0,Yes,1245.0,94.0
Super built-up  Area,2.0,2.0,Yes,1145.0,45.79
Super built-up  Area,2.0,1.0,Yes,825.0,33.0
Super built-up  Area,3.0,3.0,No,1693.0,108.0
Super built-up  Area,2.0,2.0,Yes,1113.27,53.0
Built-up  Area,2.0,1.0,Yes,1460.0,58.0
Built-up  Area,2.0,1.0,Yes,1050.0,32.0
Built-up  Area,2.0,2.0,Yes,1260.0,55.0
Super built-up  Area,3.0,2.0,Yes,700.0,120.0
Built-up  Area,2.0,1.0,Yes,1656.0,120.0
Super built-up  Area,3.0,1.0,Yes,1208.0,45.0
Super built-up  Area,3.0,2.0,Yes,1910.0,161.0
Super built-up  Area,4.0,1.0,Yes,3252.0,230.0
Plot  Area,2.0,1.0,Yes,1200.0,65.0
Super built-up  Area,4.0,1.0,Yes,1200.0,175.0
Super built-up  Area,2.0,1.0,Yes,1175.0,82.0
Plot  Area,2.0,0.0,Yes,1000.0,165.0
Plot  Area,2.0,0.0,Yes,1200.0,125.0
Super built-up  Area,3.0,2.0,Yes,2390.0,410.0
Super built-up  Area,6.0,3.0,No,12000.0,2200.0
Plot  Area,1.0,1.0,Yes,550.0,62.0
Super built-up  Area,1.0,0.0,Yes,34.46,18.5
Super built-up  Area,2.0,2.0,Yes,1185.0,38.0
Super built-up  Area,2.0,1.0,Yes,750.0,38.0
Plot  Area,7.0,3.0,Yes,1200.0,250.0
Super built-up  Area,3.0,3.0,Yes,1550.0,64.5
Built-up  Area,3.0,2.0,Yes,1760.0,88.0
Super built-up  Area,2.0,2.0,Yes,1125.0,62.0
Plot  Area,3.0,2.0,Yes,1350.0,150.0
Plot  Area,2.0,1.0,No,1000.0,55.0
Built-up  Area,2.0,2.0,No,1090.0,31.48
Plot  Area,2.0,0.0,Yes,1200.0,60.0
Super built-up  Area,4.0,2.0,Yes,1991.0,103.0
Super built-up  Area,2.0,1.0,No,1060.0,26.5
Super built-up  Area,2.0,1.0,Yes,1105.0,75.0
Built-up  Area,2.0,2.0,Yes,985.0,67.0
Plot  Area,5.0,3.0,Yes,1533.0,85.0
Super built-up  Area,3.0,2.0,No,1590.0,79.0
Super built-up  Area,2.0,2.0,Yes,1120.0,55.0
Super built-up  Area,2.0,1.0,Yes,1069.0,55.0
Super built-up  Area,3.0,2.0,Yes,1933.0,140.0
Built-up  Area,2.0,0.0,No,1194.0,69.0
Super built-up  Area,2.0,3.0,Yes,1150.0,69.0
Super built-up  Area,2.0,2.0,Yes,1240.0,47.12
Super built-up  Area,2.0,2.0,Yes,1419.0,48.1
Plot  Area,8.0,2.0,Yes,1200.0,250.0
Super built-up  Area,4.0,2.0,Yes,2150.0,240.0
Super built-up  Area,3.0,2.0,Yes,1450.0,55.0
Super built-up  Area,3.0,2.0,No,1630.0,68.29
Super built-up  Area,1.0,1.0,Yes,708.0,40.0
Plot  Area,4.0,3.0,Yes,1000.0,110.0
Plot  Area,4.0,3.0,Yes,11890.0,700.0
Super built-up  Area,2.0,1.0,Yes,1250.0,76.0
Super built-up  Area,2.0,1.0,Yes,1400.0,95.0
Super built-up  Area,2.0,3.0,Yes,1670.0,57.0
Super built-up  Area,3.0,2.0,Yes,1750.0,100.0
Super built-up  Area,2.0,1.0,Yes,1404.0,71.0
Super built-up  Area,2.0,2.0,Yes,1715.0,95.0
Built-up  Area,1.0,1.0,No,630.0,34.65
Super built-up  Area,3.0,2.0,Yes,1752.12,135.0
Super built-up  Area,3.0,2.0,Yes,1650.0,78.0
Super built-up  Area,2.0,1.0,Yes,1295.0,55.47
Plot  Area,3.0,2.0,Yes,1800.0,252.0
Super built-up  Area,2.0,1.0,No,1346.0,74.03
Plot  Area,4.0,2.0,Yes,1200.0,200.0
Super built-up  Area,2.0,2.0,Yes,1150.0,55.0
Built-up  Area,4.0,3.0,Yes,3309.0,325.0
Super built-up  Area,2.0,2.0,No,1190.0,30.35
Super built-up  Area,3.0,2.0,Yes,1620.0,98.0
Super built-up  Area,2.0,1.0,No,950.0,46.96
Super built-up  Area,9.0,3.0,Yes,5000.0,360.0
Super built-up  Area,3.0,0.0,Yes,2450.0,120.0
Super built-up  Area,2.0,1.0,No,1220.0,35.23
Super built-up  Area,2.0,1.0,Yes,850.0,30.0
Built-up  Area,2.0,2.0,Yes,1020.0,63.0
Built-up  Area,2.0,2.0,Yes,1100.0,50.0
Super built-up  Area,2.0,2.0,Yes,1150.0,126.0
Super built-up  Area,2.0,2.0,No,1760.0,130.0
Super built-up  Area,3.0,3.0,Yes,1800.0,110.0
Super built-up  Area,2.0,1.0,Yes,1070.0,54.0
Plot  Area,4.0,2.0,Yes,1500.0,220.0
Plot  Area,2.0,0.0,Yes,1440.0,95.0
Super built-up  Area,2.0,1.0,Yes,900.0,40.0
Built-up  Area,4.0,1.0,Yes,1200.0,230.0
Super built-up  Area,2.0,1.0,No,1130.0,42.16
Super built-up  Area,2.0,1.0,Yes,1320.0,165.0
Super built-up  Area,2.0,1.0,No,1270.0,98.0
Built-up  Area,2.0,1.0,Yes,1200.0,62.0
Super built-up  Area,4.0,2.0,Yes,4800.0,235.0
Super built-up  Area,2.0,1.0,Yes,1200.0,74.0
Super built-up  Area,2.0,0.0,Yes,929.0,50.17
Built-up  Area,4.0,2.0,Yes,1150.0,260.0
