area_type,bath,balcony,price,available to move,rectified_sqft
Plot  Area,4.0,2.0,260.0,No,2600.0
Super built-up  Area,3.0,2.0,125.0,Yes,1724.0
Built-up  Area,2.0,2.0,120.0,Yes,1575.0
Super built-up  Area,2.0,2.0,80.0,Yes,1230.0
Super built-up  Area,2.0,3.0,38.69,Yes,1290.0
Super built-up  Area,2.0,2.0,60.0,No,1314.0
Super built-up  Area,5.0,2.0,345.0,Yes,3436.0
Super built-up  Area,2.0,3.0,54.0,Yes,1500.0
Super built-up  Area,2.0,2.0,50.0,Yes,1200.0
Built-up  Area,4.0,3.0,116.0,No,1940.0
Super built-up  Area,2.0,2.0,35.0,Yes,1200.0
Built-up  Area,2.0,1.0,49.0,Yes,918.0
Plot  Area,2.0,1.0,58.5,Yes,1200.0
Built-up  Area,4.0,3.0,199.0,Yes,1100.0
Plot  Area,3.0,1.0,100.0,Yes,1555.0
Super built-up  Area,3.0,1.0,53.96,No,1365.0
Super built-up  Area,2.0,2.0,85.0,No,1360.0
Super built-up  Area,2.0,2.0,49.3,Yes,1565.0
Super built-up  Area,2.0,2.0,57.0,Yes,1160.0
Plot  Area,3.0,0.0,70.0,Yes,1200.0
Super built-up  Area,2.0,2.0,95.0,Yes,1278.0
Super built-up  Area,27.0,0.0,230.0,Yes,8000.0
Super built-up  Area,2.0,1.0,53.0,Yes,1200.0
Super built-up  Area,2.0,2.0,40.0,Yes,1150.0
Super built-up  Area,2.0,1.0,86.0,Yes,980.0
Super built-up  Area,2.0,2.0,32.0,Yes,1090.0
Plot  Area,6.0,3.0,850.0,Yes,4000.0
Built-up  Area,1.0,1.0,70.0,Yes,1050.0
Super built-up  Area,4.0,2.0,570.0,Yes,3100.0
Built-up  Area,2.0,2.0,110.0,Yes,900.0
Super built-up  Area,2.0,2.0,47.0,Yes,1262.0
Built-up  Area,3.0,3.0,63.0,Yes,1400.0
Built-up  Area,3.0,1.0,350.0,Yes,4355.0
Plot  Area,4.0,2.0,90.0,Yes,1200.0
Super built-up  Area,2.0,2.0,79.0,No,1175.0
Built-up  Area,2.0,2.0,60.0,Yes,1060.0
Built-up  Area,4.0,1.0,200.0,Yes,2800.0
Super built-up  Area,2.0,2.0,50.0,Yes,1200.0
Super built-up  Area,2.0,1.0,44.55,Yes,1100.0
Plot  Area,3.0,3.0,390.0,Yes,2572.0
Built-up  Area,2.0,1.0,43.0,Yes,909.0
Super built-up  Area,3.0,3.0,125.0,No,1824.0
Built-up  Area,2.0,1.0,58.0,Yes,1460.0
Super built-up  Area,2.0,1.0,50.66,Yes,1140.0
Super built-up  Area,2.0,1.0,64.0,Yes,1128.0
Super built-up  Area,2.0,1.0,83.09,Yes,1385.0
Super built-up  Area,2.0,1.0,55.0,No,1158.0
Super built-up  Area,2.0,0.0,46.5,No,1000.0
Built-up  Area,3.0,3.0,85.0,Yes,1806.0
Super built-up  Area,2.0,1.0,41.0,No,1030.0
Super built-up  Area,3.0,2.0,40.0,No,1250.0
Super built-up  Area,2.0,1.0,65.0,No,1256.0
Super built-up  Area,3.0,1.0,55.5,Yes,1350.0
Super built-up  Area,2.0,1.0,67.48,Yes,1259.0
Super built-up  Area,2.0,2.0,46.0,Yes,1050.0
Plot  Area,6.0,1.0,95.0,Yes,900.0
Built-up  Area,6.0,3.0,101.0,Yes,1799.0
Built-up  Area,3.0,1.0,232.0,Yes,2940.0
Super built-up  Area,3.0,3.0,85.0,Yes,1545.0
Built-up  Area,2.0,1.0,75.0,Yes,1450.0
Super built-up  Area,2.0,2.0,58.0,Yes,1204.0
Plot  Area,3.0,2.0,160.0,Yes,815.0
Super built-up  Area,2.0,3.0,47.0,Yes,1251.0
Plot  Area,5.0,1.0,185.0,Yes,1200.0
Super built-up  Area,2.0,1.0,53.76,Yes,1120.0
Built-up  Area,2.0,2.0,85.0,Yes,1890.0
Built-up  Area,2.0,1.0,58.0,Yes,1480.0
Super built-up  Area,2.0,2.0,40.0,Yes,1125.0
Built-up  Area,4.0,2.0,150.0,Yes,2650.0
Built-up  Area,2.0,1.0,40.08,Yes,1002.0
Super built-up  Area,2.0,2.0,60.0,Yes,1440.0
Plot  Area,2.0,1.0,68.0,No,1200.0
Super built-up  Area,3.0,3.0,180.0,Yes,2145.0
Super built-up  Area,3.0,0.0,57.76,No,1343.5
Super built-up  Area,2.0,2.0,60.0,Yes,1205.0
Super built-up  Area,2.0,2.0,55.0,Yes,1475.0
Built-up  Area,3.0,3.0,84.0,Yes,1434.0
Super built-up  Area,2.0,2.0,65.0,Yes,1143.0
Plot  Area,5.0,3.0,627.0,Yes,5530.0
Super built-up  Area,1.0,1.0,17.0,Yes,686.0
Super built-up  Area,3.0,2.0,80.0,Yes,1656.0
Super built-up  Area,2.0,1.0,32.79,No,1063.0
Super built-up  Area,2.0,2.0,45.0,Yes,1185.0
Built-up  Area,2.0,1.0,32.0,Yes,825.0
Built-up  Area,2.0,2.0,88.0,Yes,1370.0
Super built-up  Area,2.0,1.0,48.5,Yes,1119.0
Super built-up  Area,2.0,3.0,125.0,Yes,2400.0
Plot  Area,5.0,1.0,175.0,Yes,1500.0
Super built-up  Area,2.0,1.0,39.71,Yes,993.0
Super built-up  Area,2.0,2.0,113.19,No,2094.0
Super built-up  Area,2.0,2.0,65.0,Yes,1265.0
Built-up  Area,3.0,2.0,104.0,No,1991.0
Super built-up  Area,2.0,3.0,75.0,Yes,1417.0
Super built-up  Area,4.0,2.0,115.0,Yes,2169.0
Plot  Area,2.0,0.0,54.0,No,1300.0
Plot  Area,3.0,3.0,140.0,Yes,2400.0
Built-up  Area,2.0,2.0,45.0,Yes,1060.0
Super built-up  Area,2.0,2.0,55.0,Yes,1690.0
Super built-up  Area,2.0,1.0,45.0,Yes,1375.0
Built-up  Area,2.0,1.0,40.0,Yes,1200.0
Super built-up  Area,1.0,1.0,57.0,No,705.0
Super built-up  Area,2.0,3.0,62.15,Yes,1436.0
Super built-up  Area,2.0,2.0,136.0,Yes,1420.0
Super built-up  Area,2.0,1.0,57.32,Yes,1737.0
Super built-up  Area,5.0,1.0,290.0,Yes,3596.0
Super built-up  Area,2.0,1.0,60.0,Yes,1120.0
Super built-up  Area,1.0,1.0,18.0,No,416.0
Plot  Area,3.0,2.0,110.0,No,1200.0
Built-up  Area,2.0,0.0,59.0,Yes,650.0
Super built-up  Area,3.0,2.0,84.53,No,1610.0
Super built-up  Area,4.0,2.0,325.0,Yes,4190.0
Super built-up  Area,6.0,3.0,400.0,No,3405.1
Super built-up  Area,2.0,2.0,38.6,No,1070.0
Super built-up  Area,4.0,0.0,105.0,No,2187.5
Super built-up  Area,2.0,0.0,63.77,No,1317.5
Super built-up  Area,2.0,2.0,60.6,Yes,1320.0
Built-up  Area,3.0,2.0,60.0,Yes,1350.0
Plot  Area,1.0,1.0,200.0,Yes,2100.0
Built-up  Area,2.0,1.0,33.06,No,1140.0
Plot  Area,7.0,2.0,350.0,Yes,1200.0
Super built-up  Area,2.0,1.0,54.0,Yes,1200.0
Super built-up  Area,3.0,3.0,108.0,No,1770.0
Super built-up  Area,2.0,2.0,48.0,Yes,915.0
Plot  Area,1.0,0.0,50.0,Yes,1200.0
Super built-up  Area,2.0,2.0,41.88,Yes,1111.0
Built-up  Area,2.0,1.0,35.0,Yes,1050.0
Super built-up  Area,2.0,1.0,55.0,Yes,1206.0
Super built-up  Area,3.0,2.0,300.0,No,2240.0
Super built-up  Area,2.0,2.0,47.0,Yes,1062.0
Built-up  Area,3.0,1.0,1000.0,Yes,2100.0
Super built-up  Area,3.0,1.0,455.0,No,3144.0
Super built-up  Area,6.0,1.0,196.0,No,3630.0
Super built-up  Area,2.0,2.0,65.0,Yes,1235.0
Built-up  Area,3.0,2.0,169.0,Yes,2556.0
Super built-up  Area,6.0,2.0,385.0,Yes,4850.0
Super built-up  Area,2.0,2.0,52.0,Yes,1317.0
Built-up  Area,2.0,2.0,30.0,Yes,1500.0
Plot  Area,4.0,2.0,235.0,Yes,3000.0
Super built-up  Area,1.0,1.0,41.0,No,700.0
Super built-up  Area,3.0,2.0,155.0,Yes,1850.0
Super built-up  Area,3.0,2.0,72.5,Yes,1550.0
Super built-up  Area,2.0,1.0,54.0,Yes,1200.0
Built-up  Area,3.0,3.0,140.0,Yes,1850.0
Super built-up  Area,1.0,1.0,28.0,Yes,635.0
Carpet  Area,2.0,0.0,60.0,Yes,1150.0
Super built-up  Area,4.0,3.0,260.0,Yes,2600.0
Super built-up  Area,2.0,2.0,52.43,No,1282.0
Super built-up  Area,3.0,2.0,72.5,Yes,1535.0
Super built-up  Area,2.0,1.0,45.0,Yes,1082.0
Super built-up  Area,3.0,3.0,330.0,Yes,2450.0
Super built-up  Area,3.0,2.0,82.0,Yes,1494.0
Super built-up  Area,2.0,2.0,72.0,Yes,1050.0
Super built-up  Area,2.0,1.0,50.0,No,905.0
Plot  Area,4.0,2.0,48.0,Yes,720.0
Built-up  Area,2.0,2.0,222.0,Yes,3418.0
Built-up  Area,3.0,2.0,120.0,Yes,1640.0
Plot  Area,2.0,1.0,120.0,Yes,600.0
Super built-up  Area,3.0,2.0,85.0,Yes,1653.0
Super built-up  Area,3.0,2.0,224.0,Yes,1720.0
Plot  Area,6.0,2.0,130.0,Yes,1244.0
Plot  Area,4.0,3.0,66.0,No,1000.0
Super built-up  Area,3.0,2.0,325.0,Yes,2900.0
Super built-up  Area,3.0,2.0,95.0,Yes,1600.0
Super built-up  Area,3.0,2.0,69.0,No,1300.0
Plot  Area,4.0,1.0,650.0,Yes,4000.0
Super built-up  Area,3.0,2.0,96.0,Yes,1475.0
Super built-up  Area,2.0,1.0,41.0,Yes,1175.0
Plot  Area,4.0,3.0,110.0,Yes,1200.0
Super built-up  Area,2.0,1.0,86.26,No,1198.0
Super built-up  Area,2.0,1.0,55.0,Yes,1250.0
Super built-up  Area,3.0,3.0,110.0,Yes,1800.0
Super built-up  Area,4.0,1.0,95.0,No,1797.0
Super built-up  Area,2.0,2.0,28.47,No,876.0
Super built-up  Area,3.0,1.0,133.0,Yes,1949.0
Super built-up  Area,3.0,2.0,78.0,Yes,1237.0
Super built-up  Area,3.0,2.0,400.0,Yes,3100.0
Built-up  Area,2.0,1.0,98.0,Yes,1630.0
Plot  Area,3.0,1.0,250.0,Yes,1280.0
Built-up  Area,2.0,1.0,73.0,Yes,1290.0
Super built-up  Area,2.0,1.0,63.0,Yes,920.0
Built-up  Area,6.0,2.0,175.0,Yes,3800.0
Super built-up  Area,1.0,2.0,47.0,Yes,750.0
Built-up  Area,4.0,0.0,900.0,Yes,3000.0
Built-up  Area,3.0,2.0,125.0,Yes,1783.0
Super built-up  Area,2.0,2.0,38.0,Yes,1185.0
Built-up  Area,3.0,1.0,65.0,Yes,1300.0
Super built-up  Area,6.0,0.0,118.0,No,2464.5
Built-up  Area,1.0,0.0,20.0,Yes,600.0
Super built-up  Area,3.0,3.0,65.0,Yes,1525.0
Built-up  Area,2.0,1.0,72.0,Yes,850.0
Super built-up  Area,2.0,2.0,40.0,Yes,1016.0
Built-up  Area,2.0,2.0,40.0,Yes,1035.0
Super built-up  Area,3.0,2.0,105.0,Yes,2000.0
Super built-up  Area,2.0,1.0,122.0,No,1365.0
Built-up  Area,1.0,1.0,14.0,Yes,400.0
Super built-up  Area,1.0,0.0,32.15,No,630.5
Built-up  Area,3.0,3.0,61.37,Yes,1600.0
Plot  Area,2.0,2.0,25.49,No,1500.0
Super built-up  Area,2.0,3.0,77.0,Yes,1315.0
Super built-up  Area,2.0,2.0,68.0,Yes,1250.0
Super built-up  Area,3.0,1.0,130.0,Yes,1255.0
Built-up  Area,4.0,3.0,189.0,Yes,2597.0
Super built-up  Area,3.0,2.0,110.0,Yes,1760.0
Built-up  Area,3.0,1.0,100.0,Yes,2000.0
Super built-up  Area,2.0,1.0,55.0,Yes,975.0
Super built-up  Area,2.0,1.0,68.0,Yes,1100.0
Super built-up  Area,2.0,3.0,120.0,Yes,1200.0
Super built-up  Area,2.0,1.0,79.0,Yes,1300.0
Super built-up  Area,2.0,2.0,80.0,Yes,1222.0
Super built-up  Area,4.0,1.0,101.0,No,1929.0
Built-up  Area,2.0,1.0,45.0,Yes,1035.0
Super built-up  Area,3.0,3.0,72.5,Yes,1550.0
Super built-up  Area,2.0,2.0,68.0,Yes,1322.0
Super built-up  Area,2.0,1.0,47.0,Yes,1025.0
Super built-up  Area,2.0,1.0,60.0,Yes,1200.0
Super built-up  Area,2.0,1.0,41.0,Yes,1096.0
Built-up  Area,2.0,1.0,67.0,Yes,1400.0
Super built-up  Area,2.0,2.0,70.0,Yes,1180.0
Super built-up  Area,3.0,1.0,47.25,No,1350.0
Built-up  Area,2.0,3.0,85.0,Yes,1605.0
Built-up  Area,2.0,1.0,62.0,Yes,1250.0
Super built-up  Area,3.0,2.0,86.0,Yes,1600.0
Super built-up  Area,2.0,1.0,25.12,No,985.0
Plot  Area,1.0,2.0,95.0,Yes,1200.0
Super built-up  Area,2.0,2.0,175.0,No,3185.0
Built-up  Area,2.0,2.0,50.0,Yes,1040.0
Super built-up  Area,2.0,2.0,43.0,Yes,1100.0
Super built-up  Area,5.0,1.0,210.0,Yes,2990.0
Super built-up  Area,2.0,1.0,78.0,Yes,1405.0
Super built-up  Area,2.0,3.0,305.0,Yes,2204.0
Super built-up  Area,2.0,2.0,47.39,Yes,1185.0
Super built-up  Area,2.0,2.0,27.0,No,850.0
Built-up  Area,2.0,2.0,55.68,Yes,782.0
Super built-up  Area,1.0,1.0,19.0,Yes,700.0
Super built-up  Area,2.0,2.0,55.0,No,1225.0
Super built-up  Area,2.0,2.0,120.0,Yes,1500.0
Super built-up  Area,2.0,3.0,120.0,Yes,1260.0
Plot  Area,2.0,2.0,160.0,Yes,1200.0
Super built-up  Area,2.0,1.0,55.25,Yes,1270.0
Super built-up  Area,2.0,2.0,55.44,No,1320.0
Built-up  Area,3.0,3.0,120.0,Yes,1500.0
Plot  Area,3.0,1.0,128.0,Yes,1632.0
Super built-up  Area,2.0,2.0,56.5,Yes,1255.0
Super built-up  Area,5.0,2.0,181.0,Yes,2500.0
Super built-up  Area,2.0,3.0,37.0,Yes,890.0
Built-up  Area,2.0,0.0,45.0,Yes,1360.0
Super built-up  Area,2.0,1.0,77.68,No,1255.0
Super built-up  Area,3.0,2.0,71.0,Yes,1450.0
Super built-up  Area,3.0,2.0,87.5,Yes,1645.0
Super built-up  Area,2.0,1.0,54.59,No,1012.0
Super built-up  Area,3.0,2.0,123.0,Yes,1760.0
Super built-up  Area,2.0,2.0,43.0,Yes,1092.0
Super built-up  Area,2.0,3.0,52.17,Yes,1410.0
Plot  Area,4.0,2.0,180.0,Yes,1500.0
Super built-up  Area,2.0,2.0,72.0,Yes,1250.0
Super built-up  Area,3.0,1.0,175.0,No,1615.0
Built-up  Area,3.0,2.0,125.0,Yes,1690.0
Plot  Area,1.0,1.0,99.0,Yes,840.0
Super built-up  Area,2.0,2.0,47.0,Yes,1175.0
Super built-up  Area,3.0,3.0,73.0,Yes,1798.0
Super built-up  Area,2.0,1.0,35.0,Yes,1010.0
Built-up  Area,2.0,2.0,78.0,Yes,1540.0
Built-up  Area,2.0,1.0,84.0,Yes,1500.0
Super built-up  Area,2.0,1.0,55.0,Yes,950.0
Built-up  Area,2.0,3.0,41.0,Yes,1050.0
Built-up  Area,2.0,1.0,100.0,Yes,1299.0
Super built-up  Area,2.0,1.0,70.0,No,1146.0
Built-up  Area,2.0,2.0,59.0,Yes,1277.0
Super built-up  Area,2.0,2.0,32.0,Yes,795.0
Super built-up  Area,6.0,2.0,550.0,Yes,3633.0
Super built-up  Area,3.0,1.0,125.0,No,1885.0
Super built-up  Area,2.0,2.0,69.0,Yes,1255.0
Super built-up  Area,2.0,3.0,35.0,Yes,990.0
Plot  Area,5.0,2.0,350.0,Yes,2500.0
Super built-up  Area,2.0,1.0,75.0,Yes,1181.0
Super built-up  Area,2.0,2.0,70.0,No,1800.0
Plot  Area,3.0,1.0,204.0,No,1800.0
Super built-up  Area,3.0,1.0,200.0,No,3596.0
Super built-up  Area,3.0,3.0,50.0,Yes,1250.0
Built-up  Area,2.0,0.0,28.0,Yes,650.0
Super built-up  Area,3.0,2.0,62.0,Yes,1420.0
Super built-up  Area,2.0,1.0,40.53,Yes,1160.0
Plot  Area,3.0,1.0,400.0,Yes,2800.0
Built-up  Area,2.0,1.0,71.0,Yes,1050.0
Super built-up  Area,2.0,1.0,42.0,Yes,814.0
Built-up  Area,3.0,3.0,85.0,Yes,1740.0
Built-up  Area,4.0,0.0,248.0,Yes,2065.0
Built-up  Area,2.0,3.0,99.0,Yes,2200.0
Plot  Area,2.0,1.0,34.0,Yes,1200.0
Super built-up  Area,2.0,1.0,52.04,No,1235.0
Super built-up  Area,2.0,2.0,41.0,Yes,1190.0
Super built-up  Area,2.0,2.0,115.0,Yes,1342.0
Plot  Area,4.0,3.0,165.0,Yes,1200.0
Built-up  Area,2.0,1.0,38.12,No,1320.0
Super built-up  Area,2.0,3.0,235.0,Yes,1875.0
Plot  Area,7.0,3.0,100.0,Yes,1200.0
Plot  Area,3.0,1.0,67.0,Yes,1200.0
Built-up  Area,3.0,1.0,140.0,No,2238.0
Super built-up  Area,2.0,2.0,119.0,Yes,1325.0
Super built-up  Area,2.0,2.0,38.9,No,1070.0
Super built-up  Area,2.0,1.0,45.0,Yes,1035.0
Super built-up  Area,2.0,1.0,54.0,Yes,1410.0
Carpet  Area,3.0,2.0,75.0,Yes,780.0
Super built-up  Area,2.0,1.0,62.0,Yes,1245.0
Super built-up  Area,2.0,2.0,46.5,Yes,1200.0
Plot  Area,2.0,1.0,61.0,Yes,1200.0
Super built-up  Area,2.0,1.0,53.76,Yes,1278.0
Plot  Area,3.0,2.0,99.0,Yes,2646.0
Plot  Area,4.0,2.0,400.0,Yes,2400.0
Super built-up  Area,2.0,1.0,66.0,No,1100.0
Super built-up  Area,2.0,1.0,78.19,No,1360.0
Super built-up  Area,3.0,2.0,97.42,Yes,1945.0
Plot  Area,10.0,2.0,180.0,Yes,1200.0
Built-up  Area,3.0,2.0,48.6,No,1350.0
Super built-up  Area,2.0,2.0,69.49,Yes,1390.0
Super built-up  Area,2.0,1.0,74.23,No,1108.0
Super built-up  Area,1.0,2.0,32.0,Yes,800.0
Plot  Area,4.0,3.0,125.0,Yes,600.0
Super built-up  Area,2.0,2.0,70.0,No,1254.0
Plot  Area,4.0,0.0,140.0,Yes,900.0
Super built-up  Area,2.0,2.0,50.0,Yes,1084.0
Built-up  Area,2.0,1.0,35.23,No,1220.0
